age,salary,balance,tenure,churn
58,44364,1673,5,1
40,39738,37678,9,1
38,27461,28518,7,0
31,66975,25517,3,1
38,89027,27391,5,0
39,93538,8931,8,1
27,80733,18940,4,1
54,66610,41629,5,0
23,38765,3166,7,1
33,67337,49101,6,1
30,69031,48444,5,1
33,40487,46553,6,1
47,66542,13539,5,1
50,76511,28226,5,1
53,61153,42754,7,1
59,75343,36046,2,1
40,83595,15744,3,1
24,58179,14009,6,0
31,67778,32408,5,1
38,28724,23353,8,0
57,96273,48437,2,0
59,86635,11147,8,1
45,85262,10322,4,0
58,88260,33,7,0
25,69203,22784,8,1
31,51805,3332,3,1
31,72115,5394,7,0
25,31522,14149,3,1
54,73500,48445,2,0
18,60377,11924,8,1
46,63582,2622,9,1
41,83772,15609,2,0
30,51791,18234,7,0
49,36242,34553,3,1
51,64003,19321,2,1
23,51613,24895,5,0
30,42476,14261,8,1
45,79479,36564,5,0
37,73917,41878,5,0
23,74482,29561,3,0
34,91309,4787,8,0
24,22555,3459,3,1
33,21686,2132,6,0
52,59688,17749,9,1
39,68107,49290,3,1
25,67107,44044,2,0
44,89591,49740,4,0
35,45202,12078,7,1
21,73097,4778,9,0
26,40549,6315,9,0
34,43852,1341,2,0
56,26810,14087,3,1
56,90833,17130,5,0
36,56491,37910,4,0
30,72764,43735,3,1
47,50233,39670,5,0
44,79806,10935,8,1
25,53749,43850,2,0
36,41733,34076,7,1
40,52961,22872,8,1
36,26750,49741,8,1
19,22832,35136,3,0
26,63759,15338,7,0
42,91420,31328,4,1
48,76574,41247,6,1
56,36127,35258,9,1
28,82357,27073,5,0
18,32894,20092,9,0
47,68231,16592,2,0
36,44680,39605,9,1
39,41405,2951,3,0
56,22725,11704,3,0
30,79441,11025,9,1
30,98265,39754,3,0
58,95258,33114,7,0
18,35085,5813,3,0
32,83912,22834,4,1
58,46085,45987,6,1
29,45556,32926,6,0
58,52876,421,8,1
48,94504,24354,2,0
45,56729,19258,7,0
23,29312,773,6,1
29,72738,45107,8,1
44,20845,16327,4,0
54,52039,27463,5,0
24,72309,11019,8,0
48,47386,9359,7,1
18,97303,36132,9,0
43,31195,21613,4,1
59,82823,1769,5,1
30,67671,4356,2,0
34,88060,37879,9,1
21,48995,2769,4,1
49,78277,2582,2,0
33,78615,43887,2,1
43,83685,12057,8,1
45,44118,26188,8,1
42,43716,17743,9,1
52,41940,19409,4,0
20,31195,6410,6,0
35,40454,10483,2,0
47,23590,11540,7,1
25,75736,2736,4,0
52,57830,32409,5,1
29,62709,7882,5,0
43,78269,36695,4,0
40,71642,40497,2,1
32,64882,45578,6,1
48,68039,1851,4,0
30,86472,12055,6,1
37,61609,38124,8,0
59,25585,2844,5,1
46,20110,372,5,1
19,70567,49955,9,1
48,25743,46527,3,1
38,38801,11569,3,1
55,52329,30138,7,1
53,20306,20326,9,1
47,73985,22878,6,0
29,45241,10082,3,1
54,74345,29085,9,0
37,27927,40244,3,1
43,99920,38290,7,1
25,30226,3825,5,0
24,47260,4369,4,1
28,28021,22886,2,0
39,44417,35444,4,1
36,64412,30742,2,1
49,28184,29784,5,1
50,22579,18936,9,1
27,57367,31479,9,0
26,63416,17721,8,0
36,39572,12234,8,0
26,49369,23073,6,0
22,87082,3951,3,1
52,83063,8708,6,1
48,91897,19763,4,0
53,78122,27055,9,1
56,35413,8440,3,0
36,59052,619,4,0
22,33037,10940,8,1
49,93397,20926,3,0
47,75405,27786,2,0
57,54750,28288,8,0
30,60474,20449,5,0
53,20645,41807,8,0
51,58579,39858,9,0
28,92076,16188,6,0
22,53290,42106,2,1
42,81917,25703,2,1
35,82513,41403,4,1
18,68561,26513,8,0
42,70784,9509,2,1
44,26680,15678,4,0
41,72087,24283,4,1
31,71378,48795,4,1
39,99036,6475,5,1
53,39967,28327,6,1
32,50465,39640,2,1
26,87641,38937,5,0
29,89505,46332,3,1
59,78520,17220,9,1
30,41014,17558,9,0
36,82950,37565,9,1
48,93584,33885,4,0
49,39662,8681,3,0
24,73611,9282,7,1
59,88709,9566,8,0
43,35560,39258,9,1
34,38222,30576,2,1
26,67429,23429,6,1
54,47826,3463,4,1
21,70044,37877,3,0
21,40255,14355,8,0
26,98765,4012,3,0
51,36367,27470,4,1
48,21449,18139,9,0
29,53858,40168,5,0
24,40735,40306,5,1
28,37266,36521,2,1
27,74206,33265,2,0
32,87805,27790,7,1
55,48296,23444,4,1
50,49683,17435,8,1
55,55092,6799,7,1
31,79012,18932,7,1
24,93054,14407,5,0
28,43927,34561,7,0
51,36337,37621,8,0
44,64764,16336,3,1
28,89378,41090,6,1
35,62440,27877,6,1
27,90830,32543,6,0
40,91313,12686,7,0
38,90635,38402,2,1
46,72257,9383,9,1
20,88358,16640,6,1
29,77477,23252,6,0
51,75701,27805,9,1
38,26478,44898,6,0
37,32118,38493,3,0
44,30103,9415,3,1
32,81765,25709,7,0
56,23819,19664,6,0
20,23718,13788,3,1
31,25324,14994,5,0
49,91830,39507,3,1
18,45303,8927,2,1
48,24352,21744,5,0
33,50451,42912,7,1
58,51105,37073,8,1
33,64882,32844,6,1
46,85807,40863,5,0
49,40069,13517,7,1
46,83559,2520,3,0
40,90366,36822,9,1
26,78095,44811,8,1
48,47686,964,8,1
56,89010,34756,3,0
25,97763,38812,7,0
48,61960,12839,4,1
28,89855,5868,6,1
52,98535,18869,7,1
38,73466,16251,4,0
49,49329,10962,4,0
26,91419,46332,4,0
34,26308,15076,7,0
38,24029,8589,9,0
18,61578,38843,5,0
41,97871,34836,5,0
37,65914,37348,9,1
54,87019,27299,6,1
20,43963,39847,6,0
54,68150,11466,9,0
31,59157,8885,3,1
21,86984,36527,7,0
45,30612,35386,7,1
57,59126,38194,2,0
38,39340,20904,7,0
25,31236,19425,2,0
54,84803,14451,2,1
33,22338,19718,8,0
54,23792,4889,2,0
27,71018,40637,9,0
56,48650,46745,3,0
21,73262,43892,9,1
55,45264,29229,5,0
40,26305,21080,7,0
40,53933,31841,4,1
53,68098,36558,9,1
23,92585,9038,5,1
59,32030,28843,5,1
45,74308,31784,2,1
23,58760,34184,4,1
50,91692,243,7,0
29,56760,41015,6,1
22,35265,29697,9,1
39,26989,44390,6,1
53,92762,11489,3,0
43,35639,5884,5,0
58,46074,8645,3,0
29,70079,3511,3,1
20,79164,31436,3,1
27,78429,41716,7,1
42,97356,6005,4,1
54,48550,30311,2,1
32,93067,34191,2,1
22,79502,36987,4,0
31,40506,11618,9,0
22,39906,3434,9,0
25,39416,25794,3,1
52,26229,2762,2,1
37,88413,22239,3,1
43,67079,17643,8,1
25,43015,24339,6,1
32,52286,8977,3,0
57,61427,278,4,1
27,31722,2301,3,0
23,35628,33505,9,1
21,50847,49162,9,1
50,35399,49917,5,1
55,76036,18734,8,0
36,62711,10457,4,0
57,68261,25378,6,0
53,20791,33622,8,0
25,25627,7566,2,0
44,82640,16976,7,1
26,20320,45683,4,0
21,43423,20861,7,0
19,90817,32330,9,0
35,70260,43073,4,0
21,60626,15468,7,0
56,57856,28783,2,1
26,34796,45040,3,0
57,46989,38535,7,0
29,65932,30682,3,1
29,94445,19289,2,0
42,74512,9476,5,0
50,60847,41944,5,1
21,86514,26010,6,0
43,50062,39112,6,1
27,62221,35983,2,0
29,36345,23697,7,1
51,31706,22769,7,1
19,54354,1113,9,1
59,96073,24543,9,1
24,65847,36021,3,1
43,40142,5469,9,1
25,27963,4206,2,1
57,74877,6540,7,0
33,87881,28225,2,0
59,60705,34480,9,1
41,25351,36245,5,1
19,81520,49923,8,0
24,23073,16811,8,1
21,95451,44429,4,1
53,31405,32436,6,0
58,86189,39537,4,1
24,29824,19792,9,1
23,98528,43233,4,0
23,25895,6537,3,1
47,21460,930,2,0
29,80575,3523,6,1
37,32926,34568,3,0
48,54921,14043,8,1
31,35671,10898,8,1
53,22216,35038,4,1
25,27711,45721,8,0
31,53539,26414,4,1
32,78442,23532,9,1
49,39506,46587,9,0
52,46912,19010,3,0
20,86896,23817,9,0
30,38756,73,5,1
51,29305,1715,4,0
23,52367,11330,9,0
51,34982,39195,7,1
20,76016,37495,8,0
54,54063,23482,2,1
24,59649,27796,3,1
50,43066,13416,8,1
54,60481,9981,8,0
51,44933,9161,5,0
51,44406,46323,7,0
53,25423,17948,2,1
20,59588,38170,3,1
19,49242,44649,9,1
20,50431,19338,2,0
22,55117,44517,5,1
28,24216,7517,6,1
44,78569,31020,2,0
53,40685,48998,4,0
53,90262,2034,8,0
30,71350,42875,2,0
19,48784,31470,3,0
36,24917,39348,3,1
58,22884,42933,4,1
44,67866,39901,3,0
25,42776,18395,6,1
47,74540,30060,5,1
54,86670,35511,8,1
40,40191,27383,7,1
31,73612,39936,6,0
42,72277,32529,7,1
59,91315,28783,5,0
20,63231,11114,6,1
40,46996,40639,2,0
50,43067,31494,2,1
23,51710,13324,9,0
29,28051,2328,9,0
41,35255,826,5,0
46,37996,120,5,1
57,84197,38885,8,0
44,94769,34910,6,1
31,65846,16481,9,0
23,66041,4930,5,0
25,23076,42153,4,0
22,35632,24636,5,0
31,52799,34957,6,1
23,85916,24539,3,1
59,60118,33310,9,0
26,84167,27367,9,0
58,61104,46867,2,0
53,61253,7674,2,0
53,82414,2173,6,1
56,92819,35172,6,1
40,40463,33156,6,0
43,70969,27847,9,0
56,28439,28207,2,0
24,68323,5401,5,1
32,43242,7981,8,1
18,74367,17015,4,1
53,81948,28984,3,1
35,66595,39786,2,1
26,20109,47678,4,1
28,65581,28583,6,1
50,32241,49932,8,1
32,69849,38991,7,0
54,45887,48125,2,0
26,54075,7379,8,1
24,94984,38813,6,0
44,89446,22780,9,0
59,39731,33789,5,0
57,33169,18114,3,0
30,82058,41118,4,1
47,95526,25568,2,1
21,28686,26457,8,1
30,42872,6819,3,0
44,75456,20586,4,1
51,33218,37349,3,0
42,93876,24986,4,0
49,92392,17474,3,0
19,51203,22041,8,1
34,28588,2792,3,0
39,26746,1761,6,1
19,55068,40785,6,1
21,78516,21443,7,0
36,84716,20359,5,1
22,48370,35794,9,1
40,61193,22729,2,1
48,92205,45664,3,1
39,60095,35300,2,0
37,69264,46390,3,1
57,67497,3114,4,1
40,58274,39162,6,1
44,84329,5714,2,0
55,79312,16466,8,1
38,49061,38859,9,1
34,69124,8132,3,1
28,70585,30228,5,0
52,78395,5842,2,0
53,25551,24639,8,1
35,95743,22623,7,0
53,57079,45489,5,1
22,96845,539,3,0
30,40138,27519,7,0
33,33636,47007,3,0
57,96813,1331,8,0
18,68050,41830,8,0
29,69697,10131,7,1
41,52239,49483,6,0
49,40154,45234,9,1
23,62334,30895,7,1
30,35513,12617,4,1
35,28154,39743,9,1
41,58329,20347,2,0
18,28633,29177,4,1
41,83904,6327,4,0
30,71160,43545,8,1
18,42998,18116,9,0
43,27988,6554,5,1
32,58213,5957,3,0
59,78042,45152,3,1
26,60858,11102,5,0
45,64257,47872,8,0
33,97416,13929,7,0
32,45841,5440,7,0
30,57472,28960,6,0
48,94812,27271,2,0
59,71495,46320,8,0
58,80919,21921,9,1
36,81374,27031,4,1
29,35939,8008,6,1
54,73150,42094,9,1
28,70111,7372,6,0
32,20866,818,3,1
23,39449,8841,9,0
43,38969,10866,9,0
52,62512,38493,2,0
36,23126,1191,6,1
52,35760,20874,4,1
49,50699,48370,5,0
21,77122,46810,5,0
54,95584,40632,5,1
29,72433,47271,6,0
47,22347,45907,4,0
23,28882,35561,4,0
43,53809,38410,6,0
21,64194,46486,2,1
54,28467,15063,2,1
29,72291,15494,6,1
45,86021,1039,4,0
40,35104,34074,9,1
44,66650,38301,4,0
29,34027,48466,5,1
36,42731,39494,5,0
56,57473,46854,4,1
27,40435,22714,3,1
27,56318,15259,7,0
25,78234,10280,9,0
20,48737,26692,7,0
54,91446,25944,2,0
38,70705,25090,4,0
42,76093,45857,2,1
34,40074,12241,5,1
41,26145,27682,8,0
23,70447,17074,7,0
38,88882,43273,4,1
24,32686,5633,3,0
20,88467,46677,2,1
22,29614,19261,3,1
54,35106,35098,4,0
20,51210,15401,6,1
42,54397,37535,5,1
22,62730,24263,7,1
26,98408,30861,9,1
52,41348,11216,7,0
43,35959,40909,7,0
44,29279,38398,7,0
40,70855,3730,8,1
51,74836,42,6,1
24,33678,40312,7,1
22,60572,467,5,0
41,42336,17440,9,0
27,76316,29768,4,0
39,71181,7545,3,0
30,72766,138,3,1
59,62419,47211,2,0
29,45348,22442,8,0
43,26593,8933,6,1
22,90318,42137,2,1
23,33416,13385,9,0
55,91256,8109,4,1
36,83204,38999,4,0
45,92606,34695,2,1
29,27602,32021,5,1
18,27484,33269,5,1
31,48198,21905,6,1
57,36869,34879,4,1
46,56829,18993,7,0
54,46098,37240,4,1
53,37635,18600,8,1
32,92267,23604,7,0
53,22595,29593,7,0
21,85103,35841,7,0
19,98064,14412,7,0
23,27307,41742,7,0
21,73952,42104,2,1
23,24355,46957,5,0
56,75896,25183,4,0
38,28192,41960,9,1
44,71568,44325,2,1
54,53656,5233,6,0
24,44921,9272,5,0
57,36644,24617,3,0
34,35067,30961,3,0
22,38471,18670,2,0
20,53265,43913,8,0
18,79609,15462,8,1
27,78697,11577,5,0
41,49080,21513,3,0
21,41656,48549,5,0
42,43132,3530,7,0
42,50277,13106,4,0
43,36425,42261,8,0
22,82179,34502,5,1
44,25916,33227,9,1
45,75859,38486,9,0
58,72642,7690,3,0
51,89193,19801,8,0
24,87885,49015,4,0
41,79083,10406,6,0
57,82787,9033,8,0
37,62792,31341,8,1
53,60047,36252,7,0
28,22563,27005,8,1
25,37889,35836,5,0
18,82231,18678,2,1
43,74979,41958,5,0
57,68133,32185,9,0
54,48604,46244,4,1
32,55518,26668,8,0
33,21542,47807,8,1
59,61611,4089,9,1
50,25609,42802,6,1
49,56552,20672,3,1
24,51430,25853,8,1
44,49799,16910,5,0
34,98474,41362,8,0
21,49907,30195,5,1
53,46286,47244,2,1
45,29510,31373,4,1
44,33023,8523,2,1
24,52608,41945,5,1
23,42863,35557,4,0
42,68718,37938,9,1
31,96190,14745,5,1
37,26563,4679,2,1
20,83090,25250,3,0
59,50485,39392,4,0
44,88692,33068,8,1
56,72460,25949,3,1
54,67627,39471,2,0
39,29595,20950,7,1
52,21162,40298,4,1
22,83078,37093,2,1
29,65826,43001,3,0
24,89801,36637,4,1
55,98784,272,3,1
37,47253,34249,9,1
22,75589,32280,5,0
42,72960,34384,7,0
58,80241,7481,3,1
27,78268,22445,9,0
31,72803,45193,6,0
34,34441,27943,7,1
54,82404,21890,8,0
20,80933,1692,2,1
23,89280,45396,9,0
40,71303,916,4,1
18,20479,15236,8,1
24,60923,834,6,0
44,43302,2837,3,1
29,73607,43719,9,0
48,28750,7212,9,1
25,52681,18592,7,1
44,42877,36887,7,1
52,32380,26745,8,1
39,40054,39128,9,0
22,90728,30756,9,0
23,35006,1577,4,1
47,27875,9652,2,0
54,31950,44918,3,1
28,63833,42408,5,0
29,93926,43675,7,1
46,77432,39089,6,0
58,96856,37732,4,0
21,79298,7891,8,0
45,94507,22760,8,1
25,38842,38613,6,0
29,76326,40490,5,0
48,38814,48840,2,1
38,77439,6859,7,1
55,31677,29534,9,0
22,31678,34085,8,0
23,66580,15232,7,1
44,67545,12590,7,0
58,33469,4883,7,0
46,92346,15738,8,0
23,71553,20560,4,0
19,69769,47024,7,1
36,27259,26040,4,0
25,47111,24423,4,1
53,60044,37359,6,1
59,57069,960,4,1
19,63423,49298,4,1
18,80213,25295,8,0
23,92573,49478,7,0
23,45100,34336,8,0
53,67191,34975,7,1
58,64597,47788,7,1
51,86143,21475,2,0
36,91367,31151,6,1
29,75341,3529,4,1
26,99402,33923,6,0
38,51063,31964,7,0
25,58519,36394,2,1
55,34786,48954,5,0
29,42446,47123,3,0
23,63994,1656,2,0
49,36887,19166,2,1
45,76593,33843,6,1
28,86839,1428,5,1
56,38089,31230,8,1
37,52414,44715,6,1
55,99734,44427,6,0
45,20470,34914,5,0
53,91307,12760,8,1
43,71265,39450,2,0
27,96812,18098,2,0
19,21808,49585,9,1
24,41745,32790,8,1
19,38539,17310,3,0
22,21686,33896,8,1
22,73796,752,6,0
53,86180,18791,3,1
18,69970,46226,8,0
47,70441,37755,6,1
24,52476,42796,9,1
20,72697,41772,5,0
30,76551,36855,9,1
31,79602,46103,4,0
20,95852,35660,8,1
36,84818,11302,2,1
21,25479,32377,2,0
54,74921,8267,4,0
58,20400,17037,9,0
28,31810,34364,7,1
38,44195,22096,8,0
18,88468,48075,9,1
21,72202,11455,9,0
57,80023,30988,2,0
30,47437,16467,8,0
20,55655,28383,7,0
54,71326,23987,2,1
30,65933,3529,5,1
25,49709,48345,5,1
46,75734,17040,2,0
22,46539,3280,5,0
57,86408,3759,8,0
41,64978,24391,8,0
57,88334,40289,3,1
26,52804,31366,6,0
20,50542,39826,3,1
20,97410,2338,7,0
22,82828,19372,8,1
22,48733,34322,7,0
49,46375,13234,7,1
44,95388,27316,6,1
36,87965,2530,2,0
21,46432,16459,6,0
48,70367,11986,3,1
27,27883,44309,9,1
20,89182,44925,8,0
50,63040,16166,7,1
55,66509,49552,3,0
29,83848,49656,2,0
34,73038,38773,5,1
58,33993,426,4,1
22,64910,42392,3,1
41,88301,17745,2,0
45,65930,12573,3,1
35,94196,26701,4,0
53,52256,30701,6,1
29,34048,43241,9,0
55,47327,18848,5,1
43,71614,2810,5,1
45,68133,29375,9,0
55,77504,8611,3,1
55,97100,44126,7,1
25,97432,23641,4,1
37,54863,6091,4,1
48,75504,16900,8,1
45,21965,45143,9,0
45,60228,48907,4,0
32,91213,1266,4,0
49,36968,27996,5,0
56,51412,16306,6,0
19,79100,9259,2,0
20,99618,27958,3,1
50,24519,26596,8,1
42,29792,44327,9,0
34,34378,8378,2,0
44,45794,49845,5,1
21,44244,8245,5,1
28,93555,3657,3,0
27,21823,25514,8,0
25,76970,12450,3,0
35,72607,43500,2,0
27,98803,37505,6,0
42,79073,32773,7,0
45,21257,35530,2,1
30,80863,48082,5,0
40,20844,183,2,0
34,97232,49251,3,0
57,60280,47812,3,0
29,89726,35857,2,1
35,43903,24577,7,0
43,90953,19600,3,1
55,69698,30204,5,1
21,32254,40413,9,1
30,45684,5357,2,0
21,83252,44192,5,0
23,29132,49865,8,1
43,63953,43638,6,0
22,40635,47258,5,1
57,90677,4080,3,1
42,55946,38478,6,1
55,76555,21005,5,1
53,54293,36291,4,1
57,57806,39591,2,1
24,21332,34091,2,0
18,52897,30822,5,1
28,89975,285,6,0
23,78431,26525,8,0
22,72303,33213,2,0
51,88056,11277,4,0
34,77140,27666,6,0
19,89795,28890,9,1
21,58574,29224,6,1
33,56047,1194,8,1
29,69746,3466,2,0
33,28059,3072,7,0
35,89807,21903,6,0
21,60203,15000,8,1
21,21271,44969,8,0
39,51788,22112,2,1
50,98583,26543,4,0
35,41102,7038,7,0
29,83760,3569,5,0
41,73290,19166,9,1
33,83924,19346,2,0
20,21666,46138,6,0
51,82170,16546,8,1
50,71575,29915,9,0
41,77258,26244,2,1
56,71498,18637,5,1
39,45774,8923,9,1
32,39529,8391,6,1
24,76061,4349,8,1
52,72225,13948,7,1
28,56570,38220,7,0
37,73088,39462,8,1
34,27932,5411,6,0
46,42288,32318,5,0
32,76203,502,4,0
58,32447,1304,4,1
32,52622,18536,7,1
27,67657,40118,7,1
55,26663,31731,2,0
30,29342,1272,9,0
43,56935,2075,3,1
29,45324,37541,5,1
22,23423,20589,2,0
35,84646,43294,6,0
19,33010,14662,9,0
43,33936,24647,8,1
30,31376,38930,4,1
28,52525,32976,8,1
27,71421,35755,2,0
59,30399,20856,7,1
53,59390,36748,9,1
52,34829,43866,5,1
57,29818,39689,3,1
25,88174,17142,6,0
43,30704,10947,6,0
57,55527,38948,8,1
42,52237,11903,6,0
28,66338,24010,3,1
40,35318,5650,2,1
25,68131,32727,3,0
48,56806,25867,9,1
26,80039,757,4,1
50,70893,37498,6,0
31,83849,27480,3,0
56,36646,43631,7,1
37,22079,24432,2,1
59,25993,11860,9,0
56,23699,27608,7,0
33,25064,49140,2,1
54,83437,2273,2,0
58,82118,33382,3,1
59,27657,18273,2,1
28,50412,11710,4,0
34,25614,47055,3,0
32,69844,49893,7,0
37,60507,17422,3,0
54,81330,48374,6,0
39,22802,20210,4,1
39,69054,40643,3,1
58,95221,35443,2,0
23,27731,1528,5,0
24,76408,14587,8,1
48,94634,25644,7,0
57,80445,42163,4,1
29,90989,21202,7,0
51,22825,25174,4,1
35,48717,14670,4,1
34,21954,2133,7,0
45,51529,27711,6,1
35,80092,45319,2,1
52,59153,12411,9,1
24,99569,33407,9,0
56,36694,22126,3,0
22,28064,24431,9,1
23,65502,33935,2,0
27,58121,17655,4,1
58,79174,19499,2,0
46,56847,34992,6,1
25,49433,38162,9,1
43,68157,5412,4,0
34,71122,13962,6,0
19,52947,47991,7,0
21,26361,43086,3,1
32,86965,40556,6,0
56,61079,5475,5,0
40,32401,6846,3,0
21,98932,42931,3,1
56,68217,19078,3,1
42,60019,34203,4,1
59,58738,149,4,1
41,97829,12295,3,0
38,41268,44784,2,1
25,65873,48942,8,0
28,28238,31918,2,1
20,21372,3594,8,1
46,65429,18008,7,1
41,82760,31045,6,0
55,87863,32033,3,0
42,83791,8685,4,1
34,63270,10183,6,0
56,85419,16439,3,0
58,37850,10349,7,0
42,35560,36452,4,0
30,77501,5587,3,1
47,44112,6436,4,0
20,40597,40349,2,0
44,83795,24035,3,0
25,77158,336,2,1
58,32731,37008,9,1
47,75438,11613,9,1
20,26136,2739,6,1
44,87476,27545,5,1
33,75836,45282,2,1
26,47116,15184,9,0
30,78124,3201,8,1
31,34579,21938,2,1
55,70208,7034,7,1
31,57459,41846,7,0
36,59604,24551,5,0
20,26136,2739,6,1
44,87476,27545,5,1
33,75836,45282,2,1
26,47116,15184,9,0
30,78124,3201,8,1
31,34579,21938,2,1
55,70208,7034,7,1
31,57459,41846,7,0
36,59604,24551,5,0
